"","VertexName","Language","LangGroup","Coloniser","Colonised","ln_GDP","Transformed_Area"
"93","KIR","English","English","0","1",19.5451639646697,2.07625124646352
"94","KNA","English","English","0","1",20.7878182468764,1.86196912620803
"95","KOR","Korean","Other","0","1",24.7486516467307,3.59174846992201
"96","KWT","Arabic","Arabic","0","1",25.799859100545,2.9670007877394
"97","LAO","Lao","Other","0","1",23.5268039669686,3.95506405878166
"98","LBN","Arabic","Arabic","0","1",24.4979822612615,2.79626103658461
"99","LBR","English","English","0","1",22.281410454993,3.63706942582986
"100","LBY","Arabic","Arabic","0","1",24.5656445923989,4.94234705102178
"101","LCA","English","English","0","1",21.65899166308,2.04188690950812
"102","LIE","German","German","0","0",22.6691759860017,2.82007769515481
"103","LKA","Sinhala","Other","0","1",25.3180137543837,3.42940591894961
"104","LSO","English","English","0","1",21.5437246650148,3.14793373619569
"105","LTU","Lithuanian","Other","0","1",25.1643772674938,3.42760173091904
"106","LUX","French","French","0","1",25.2579848995546,2.39431312777548
"107","LVA","Latvian","Other","0","1",24.4965042208416,3.42343480973383
"108","MAC","Portuguese","Portuguese","0","1",24.6389464005731,1.42996914830873
"109","MAR","Arabic","Arabic","1","1",25.7630132087458,4.46886825905043
"110","MCO","French","French","0","0",22.9204904142826,2.36837348683896
"111","MDA","Romanian","Other","0","1",23.6247061590764,3.18471071432365
"112","MDG","French","French","0","1",23.5809315811405,4.37484992294498
"113","MDV","Maldivian","Other","0","1",22.6656191464303,1.8832714308776
"114","MEX","Spanish","Spanish","0","1",28.2476775028081,5.00399361701089
"115","MHL","English","English","0","0",19.4515773602738,1.78177628786957
"116","MKD","Macedonian","Other","0","1",23.537790122982,3.09041620343464
"117","MLI","French","French","0","1",24.0037283705563,4.753925588181
"118","MLT","English","English","0","1",23.9146473991905,1.89558389032981
"119","MMR","Burmese","Other","0","1",25.0284083583329,4.44580063514927
"120","MNE","Montenegrin","Other","0","0",22.811361836263,2.91202639341219
"121","MNG","Mongolian","Other","0","1",23.8839215185256,4.87859521822153
"122","MOZ","Portuguese","Portuguese","0","1",23.833069838588,4.52892051826633
"123","MRT","Arabic","Arabic","0","1",23.0997268348546,4.65720986209632
"124","MUS","English","English","0","1",23.4281480529357,2.33267810219918
"125","MWI","English","English","0","1",23.1219721736992,3.66218236932247
"126","MYS","Malay","Other","0","1",26.7682050403933,4.10329570472399
"127","NAM","English","English","0","1",23.3164552984636,4.54374615617797
"128","NER","French","French","0","1",23.6956086619361,4.76525658910627
"129","NGA","English","English","0","1",25.9584288072129,4.60087383018701
"130","NIC","Spanish","Spanish","0","1",23.703578992919,3.70223504851986
"131","NLD","Dutch","Dutch","1","0",27.8360364803467,3.26239622045832
"132","NOR","Norwegian","Other","0","0",26.9047873581655,4.09492384000438
"133","NPL","Nepali","Other","0","0",24.4824702016791,3.7515069031107
"134","NRU","Nauruan","Other","0","1",18.8928734725549,1.40253353760291
"135","NZL","English","English","1","1",26.2848544894128,4.01095373586868
"136","OMN","Arabic","Arabic","0","0",25.3955597885228,3.90752068531081
"137","PAK","Urdu","Other","0","1",26.6450368807489,4.57778408369267
"138","PAN","Spanish","Spanish","0","1",25.1806364652989,3.48408390750375
"139","PER","Spanish","Spanish","0","1",26.3904602892831,4.77282075778251
"140","PHL","English","English","0","1",26.8580024842249,4.06040195588842
"141","PLW","English","English","0","1",21.2002499687486,1.98890632566209
"142","PNG","English","English","0","1",24.2056892266445,4.26081149295184
"143","POL","Polish","Other","0","1",27.5418580770379,4.07912909331785
"144","PRK","Korean","Other","0","1",25.1257797512685,3.66918265003169
"145","PRT","Portuguese","Portuguese","1","0",26.4555817255063,3.56234178598937
"146","PRY","Spanish","Spanish","0","1",24.5178134233918,4.20009250111417
"147","PSE","Arabic","Arabic","0","0",23.3414715607084,3.52353281488639
"148","QAT","Arabic","Arabic","0","1",26.1076827638067,2.82438287127124
"149","ROU","Romanian","Other","0","0",26.6706937785406,3.62317602569728
"150","RUS","Russian","Other","1","0",28.4075143758653,6.36204541725413
"151","RWA","French","French","0","1",23.3801379813363,3.0986738415678
"152","SAU","Arabic","Arabic","0","0",27.8441384657782,5.05446651879366
"153","SDN","Arabic","Arabic","0","1",24.633483354055,5.14036899416392
"154","SEN","French","French","0","1",24.1973187580474,3.87441271434269
"155","SGP","English","English","0","1",27.0284212377345,2.0523340832182
"156","SLB","English","English","0","1",21.2890156004855,3.14131034789494
"157","SLE","English","English","0","1",22.7445277012899,3.47203601658652
"158","SLV","Spanish","Spanish","0","1",24.2889873363719,3.02232183313409
"159","SMR","Italian","Italian","0","0",21.4164130175064,1.57895583190196
"160","SOM","Somali","Other","0","1",23.2171747701477,4.41523806993941
"161","SRB","Serbian","Other","0","0",25.2128400395537,3.84300383262882
"162","SSD","English","English","0","0",23.1756693055916,2.6052444652577
"163","STP","Portuguese","Portuguese","0","1",20.4544369774946,2.14567585848138
"164","SUR","Dutch","Dutch","0","1",22.2738594540644,3.79641868660246
"165","SVK","Slovak","Other","0","1",25.6775123039604,3.32023128473718
"166","SVN","Slovenian","Other","0","1",25.0066456040372,3.00958050750666
"167","SWE","Swedish","Other","1","0",27.136917875861,4.24747531146421
"168","SWZ","Swati","Other","0","1",22.3108432851016,2.95850424979231
"169","SYC","English","English","0","1",21.496720103672,1.97394296315765
"170","SYR","Arabic","Arabic","0","1",24.2841390941781,3.84574786065335
"171","TCD","French","French","0","1",23.7498042735245,4.77232085842509
"172","TGO","French","French","0","1",23.0183964260103,3.37480109326354
"173","THA","Thai","Other","0","0",26.989348617617,4.30991099153145
"174","TJK","Tajik","Other","0","1",23.3768299713805,3.73978953596557
"175","TKM","Turkmen","Other","0","1",24.8858902213302,4.28604310233419
"176","TLS","Tetum","Other","0","0",21.3552104370827,1.77664813804171
"177","TON","Tongan","Other","0","1",20.522463839673,2.08603888543448
"178","TTO","English","English","0","1",23.9977263577615,2.58365941245378
"179","TUN","Arabic","Arabic","0","1",24.7012636205622,3.79726765223518
"180","TUR","Turkish","Other","1","0",27.9111155812005,4.51557229037073
"181","TUV","Tuvaluan","Other","0","1",21.8009919782607,1.43621434735456
"182","TWN","Chinese","Other","0","1",23.4698174753039,3.20691899457724
"183","TZA","English","English","0","1",25.0899232792973,4.61255399513097
"184","UGA","English","English","0","1",24.7057822413678,3.96286704292739
"185","UKR","Ukrainian","Other","0","1",25.9741837064896,4.38845475880402
"186","URY","Spanish","Spanish","0","1",25.1172397067578,3.82731011071785
"187","USA","English","English","1","1",31.0046722255178,5.96279995857753
"188","UZB","Uzbek","Other","0","1",25.4678961238176,4.24477924223644
"189","VAT","Italian","Italian","0","0",14.5086577385242,2.01670873098674
"190","VCT","English","English","0","1",20.8692755321929,1.9398679952386
"191","VEN","Spanish","Spanish","0","1",25.0178409491962,4.59428512949733
"192","VNM","Vietnamese","Other","0","1",26.8894989686379,4.10516708593136
"193","VUT","English","English","0","1",20.8727644567326,2.90563878831123
"194","WSM","Samoan","Other","0","1",20.7890772135715,2.41955783840758
"195","XKX","Albanian","Other","0","0",23.134579966695,3.23790571320588
"196","YEM","Arabic","Arabic","0","1",25.9513790166465,4.34085888340528
"197","ZAF","English","English","1","1",26.7153819822833,4.74524589986515
"198","ZMB","English","English","0","1",23.9938143451319,4.49730640056661
"199","ZWE","English","English","0","1",24.5117124065641,4.18141450132222
